price,speed,hd,ram,screen,cd,multi,premium,ads,trend,price
1499,25,80,4,14,no,no,yes,94,1,1499
1795,33,85,2,14,no,no,yes,94,1,1795
1595,25,170,4,15,no,no,yes,94,1,1595
1849,25,170,8,14,no,no,no,94,1,1849
3295,33,340,16,14,no,no,yes,94,1,3295
3695,66,340,16,14,no,no,yes,94,1,3695
1720,25,170,4,14,yes,no,yes,94,1,1720
1995,50,85,2,14,no,no,yes,94,1,1995
2225,50,210,8,14,no,no,yes,94,1,2225
2575,50,210,4,15,no,no,yes,94,1,2575
2195,33,170,8,15,no,no,yes,94,1,2195
2605,66,210,8,14,no,no,yes,94,1,2605
2045,50,130,4,14,no,no,yes,94,1,2045
2295,25,245,8,14,no,no,yes,94,1,2295
2699,50,212,8,14,no,no,yes,94,1,2699
2225,50,130,4,14,no,no,yes,94,1,2225
1595,33,85,2,14,no,no,yes,94,1,1595
2325,33,210,4,15,no,no,yes,94,1,2325
2095,33,250,4,15,no,no,yes,94,1,2095
4395,66,452,8,14,no,no,yes,94,1,4395
1695,33,130,4,14,no,no,yes,94,1,1695
2795,66,130,4,14,no,no,yes,94,1,2795
2895,25,340,16,14,no,no,yes,94,1,2895
2875,50,210,4,17,no,no,yes,94,1,2875
4195,50,452,8,14,no,no,yes,94,1,4195
1290,33,80,2,14,no,no,yes,94,1,1290
1975,33,130,4,14,no,no,yes,94,1,1975
3995,33,452,8,14,no,no,yes,94,1,3995
3095,33,340,16,14,no,no,yes,94,1,3095
3244,66,245,8,14,no,no,yes,94,1,3244
1920,33,170,4,14,yes,no,yes,94,1,1920
1995,25,130,4,14,no,no,yes,94,1,1995
2595,33,210,8,17,no,no,yes,94,1,2595
2475,50,210,4,15,no,no,yes,94,1,2475
1999,33,170,4,14,no,no,yes,94,1,1999
2675,66,210,4,15,no,no,yes,94,1,2675
2325,66,210,8,14,no,no,yes,94,1,2325
3795,66,500,8,14,no,no,yes,94,1,3795
2405,50,210,8,14,no,no,yes,94,1,2405
2425,50,210,8,14,no,no,yes,94,1,2425
2895,50,245,8,14,no,no,yes,94,1,2895
3895,66,500,8,15,no,no,yes,94,1,3895
2499,33,212,8,14,no,no,yes,94,1,2499
2255,33,210,8,14,no,no,yes,94,1,2255
3495,50,340,16,14,no,no,yes,94,1,3495
2695,33,245,8,14,no,no,yes,94,1,2695
2195,33,130,4,14,no,no,yes,94,1,2195
1749,25,120,4,14,no,no,yes,94,1,1749
2399,50,212,4,14,no,no,yes,94,1,2399
1995,33,250,4,14,no,no,yes,94,1,1995
2499,33,170,4,14,no,no,yes,94,1,2499
2395,33,130,4,14,no,no,yes,94,1,2395
2995,66,340,8,15,no,no,yes,94,1,2995
2190,33,210,4,14,no,no,yes,94,1,2190
2199,33,212,8,14,no,no,no,94,1,2199
2125,50,130,4,14,no,no,yes,94,1,2125
2045,66,130,4,14,no,no,yes,94,1,2045
3075,66,210,4,17,no,no,yes,94,1,3075
2945,66,210,8,17,no,no,yes,94,1,2945
1945,50,130,4,14,no,no,yes,94,1,1945
3990,66,330,8,15,no,no,yes,94,1,3990
1795,33,170,4,15,no,no,yes,94,1,1795
2495,33,250,8,15,no,no,yes,94,1,2495
2220,33,250,4,14,yes,no,yes,94,1,2220
2195,66,85,2,14,no,no,yes,94,1,2195
1495,25,170,4,14,no,no,yes,94,1,1495
2325,66,130,4,14,no,no,yes,94,1,2325
1499,25,120,4,14,no,no,yes,94,1,1499
2199,33,212,4,14,no,no,yes,94,1,2199
3095,66,245,8,14,no,no,yes,94,1,3095
4020,66,500,8,14,yes,no,yes,94,1,4020
2725,33,210,4,17,no,no,yes,94,1,2725
1695,33,170,4,14,no,no,yes,94,1,1695
3044,50,245,8,14,no,no,yes,94,1,3044
2999,50,170,4,14,no,no,yes,94,1,2999
2844,33,245,8,14,no,no,yes,94,1,2844
1975,33,210,8,14,no,no,yes,94,1,1975
3220,66,340,8,15,yes,no,yes,94,1,3220
2595,50,130,4,14,no,no,yes,94,1,2595
1629,25,80,8,14,no,no,no,94,1,1629
3399,66,230,4,15,no,no,yes,94,1,3399
2495,33,245,8,14,no,no,yes,94,1,2495
2990,66,210,8,15,no,no,yes,94,1,2990
2720,33,250,8,15,yes,no,yes,94,1,2720
2595,25,245,8,14,no,no,yes,94,1,2595
1999,33,120,8,14,no,no,no,94,1,1999
2075,33,210,8,14,no,no,yes,94,1,2075
1795,33,130,4,14,no,no,yes,94,1,1795
1395,25,85,2,14,no,no,yes,94,1,1395
3490,50,330,8,14,no,no,yes,94,1,3490
2975,50,210,4,17,no,no,yes,94,1,2975
2145,66,130,4,14,no,no,yes,94,1,2145
2420,33,170,8,15,yes,no,yes,94,1,2420
2505,50,210,8,14,no,no,yes,94,1,2505
2995,66,340,16,14,no,no,yes,95,2,2995
1495,25,170,4,14,no,no,yes,95,2,1495
1999,33,170,4,14,no,no,yes,95,2,1999
1920,33,170,4,14,yes,no,yes,95,2,1920
2595,25,340,16,14,no,no,yes,95,2,2595
1695,33,170,4,14,no,no,yes,95,2,1695
1995,33,250,4,14,no,no,yes,95,2,1995
2195,25,245,8,14,no,no,yes,95,2,2195
1795,66,85,2,14,no,no,yes,95,2,1795
2999,66,330,4,15,no,no,yes,95,2,2999
1395,25,85,2,14,no,no,yes,95,2,1395
2995,66,250,8,17,no,no,yes,95,2,2995
2699,50,212,8,14,no,no,yes,95,2,2699
1720,25,170,4,14,yes,no,yes,95,2,1720
2045,66,170,4,14,no,no,yes,95,2,2045
2145,66,170,4,14,no,no,yes,95,2,2145
2995,66,340,8,15,no,no,yes,95,2,2995
2095,33,130,4,14,no,no,yes,95,2,2095
3895,50,452,8,14,no,no,yes,95,2,3895
2895,50,340,16,14,no,no,yes,95,2,2895
1499,25,170,4,14,no,no,yes,95,2,1499
3165,66,250,4,17,no,no,yes,95,2,3165
2525,50,250,4,15,no,no,yes,95,2,2525
2325,66,250,8,14,no,no,yes,95,2,2325
2499,33,170,4,14,no,no,yes,95,2,2499
2799,33,230,4,14,no,no,yes,95,2,2799
1795,33,170,4,14,no,no,yes,95,2,1795
2199,33,210,4,14,no,no,yes,95,2,2199
2355,50,250,8,14,no,no,yes,95,2,2355
3220,66,340,8,15,yes,no,yes,95,2,3220
2420,33,170,8,15,yes,no,yes,95,2,2420
2544,33,245,8,14,no,no,yes,95,2,2544
2945,50,250,4,17,no,no,yes,95,2,2945
2295,33,245,8,14,no,no,yes,95,2,2295
1495,33,85,2,14,no,no,yes,95,2,1495
2065,50,170,4,14,no,no,yes,95,2,2065
2295,66,130,4,14,no,no,yes,95,2,2295
1799,25,170,4,14,no,no,yes,95,2,1799
2220,33,250,4,14,yes,no,yes,95,2,2220
2075,50,170,4,14,no,no,yes,95,2,2075
1749,25,120,4,14,no,no,yes,95,2,1749
2195,25,245,8,14,no,no,yes,95,2,2195
2255,50,250,8,14,no,no,yes,95,2,2255
2395,33,250,4,15,no,no,yes,95,2,2395
2720,33,250,8,15,yes,no,yes,95,2,2720
2195,50,130,4,14,no,no,yes,95,2,2195
2225,33,250,8,14,no,no,yes,95,2,2225
4020,66,500,8,14,yes,no,yes,95,2,4020
2475,50,250,8,14,no,no,yes,95,2,2475
1975,50,170,4,14,no,no,yes,95,2,1975
3995,66,452,8,14,no,no,yes,95,2,3995
2595,66,245,8,14,no,no,yes,95,2,2595
2295,66,170,4,14,no,no,yes,95,2,2295
2199,33,212,4,14,no,no,yes,95,2,2199
1975,33,250,8,14,no,no,yes,95,2,1975
3895,66,500,8,15,no,no,yes,95,2,3895
2095,33,250,4,15,no,no,yes,95,2,2095
2225,33,250,8,15,no,no,yes,95,2,2225
3599,66,330,8,14,no,no,yes,95,2,3599
2075,33,250,8,14,no,no,yes,95,2,2075
2499,33,212,8,14,no,no,yes,95,2,2499
2575,66,250,8,15,no,no,yes,95,2,2575
2999,50,170,4,14,no,no,yes,95,2,2999
2195,33,170,8,15,no,no,yes,95,2,2195
3065,50,250,4,17,no,no,yes,95,2,3065
3399,66,230,4,15,no,no,yes,95,2,3399
1995,33,130,4,14,no,no,yes,95,2,1995
1595,25,170,4,15,no,no,yes,95,2,1595
2645,50,250,4,15,no,no,yes,95,2,2645
2345,50,250,8,14,no,no,yes,95,2,2345
2795,33,340,16,14,no,no,yes,95,2,2795
1895,25,130,4,14,no,no,yes,95,2,1895
2495,50,245,8,14,no,no,yes,95,2,2495
2599,50,210,4,14,no,no,yes,95,2,2599
1595,33,85,2,14,no,no,yes,95,2,1595
1999,33,120,8,14,no,no,no,95,2,1999
2425,66,250,8,14,no,no,yes,95,2,2425
2495,33,250,8,15,no,no,yes,95,2,2495
1795,33,170,4,15,no,no,yes,95,2,1795
2744,66,245,8,14,no,no,yes,95,2,2744
3795,33,452,8,14,no,no,yes,95,2,3795
2745,66,250,4,15,no,no,yes,95,2,2745
2399,50,212,4,14,no,no,yes,95,2,2399
2645,33,250,8,17,no,no,yes,95,2,2645
1945,33,170,4,14,no,no,yes,95,2,1945
1695,50,85,2,14,no,no,yes,95,2,1695
2195,50,170,4,14,no,no,yes,95,2,2195
2815,33,250,4,17,no,no,yes,95,2,2815
1899,25,120,4,14,no,no,yes,95,2,1899
2644,50,245,8,14,no,no,yes,95,2,2644
3795,66,500,8,14,no,no,yes,95,2,3795
2395,33,245,8,14,no,no,yes,95,2,2395
1695,33,170,4,14,no,no,yes,95,2,1695
2575,66,250,8,14,no,no,yes,95,2,2575
2695,33,340,16,14,no,no,yes,95,2,2695
2999,66,245,16,15,no,no,yes,100,3,2999
1899,33,170,4,14,no,no,yes,100,3,1899
2499,50,210,4,14,no,no,yes,100,3,2499
1999,33,213,8,14,no,no,yes,100,3,1999
2055,50,170,4,14,no,no,yes,100,3,2055
2065,50,170,4,14,no,no,yes,100,3,2065
2055,33,250,8,14,no,no,yes,100,3,2055
2099,33,212,4,14,no,no,yes,100,3,2099
1995,33,130,4,14,no,no,yes,100,3,1995
2220,33,250,4,14,yes,no,yes,100,3,2220
3220,66,340,8,15,yes,no,yes,100,3,3220
3995,66,452,8,14,no,no,yes,100,3,3995
2785,33,250,8,17,no,no,yes,100,3,2785
2475,50,250,8,15,no,no,yes,100,3,2475
1499,25,170,4,14,no,no,yes,100,3,1499
1595,33,85,2,14,no,no,yes,100,3,1595
2099,66,120,4,14,no,no,yes,100,3,2099
2885,66,170,8,15,no,no,yes,100,3,2885
3795,33,452,8,14,no,no,yes,100,3,3795
2295,66,170,4,14,no,no,yes,100,3,2295
3895,66,500,8,15,no,no,yes,100,3,3895
2395,33,245,8,14,no,no,yes,100,3,2395
3135,66,250,8,17,no,no,yes,100,3,3135
2420,33,170,8,15,yes,no,yes,100,3,2420
2125,66,170,4,14,no,no,yes,100,3,2125
2985,66,250,8,17,no,no,yes,100,3,2985
1395,25,85,2,14,no,no,yes,100,3,1395
2295,33,245,8,14,no,no,yes,100,3,2295
2095,33,130,4,14,no,no,yes,100,3,2095
2795,33,340,16,14,no,no,yes,100,3,2795
1945,33,170,4,14,no,no,yes,100,3,1945
2635,33,250,8,17,no,no,yes,100,3,2635
2695,66,250,8,15,no,no,yes,100,3,2695
2199,50,213,8,14,no,no,yes,100,3,2199
3895,50,452,8,14,no,no,yes,100,3,3895
2599,50,212,8,14,no,no,yes,100,3,2599
2745,66,170,8,14,no,no,yes,100,3,2745
1920,33,170,4,14,yes,no,yes,100,3,1920
2895,50,340,16,14,no,no,yes,100,3,2895
2199,33,210,4,14,no,no,yes,100,3,2199
2915,50,250,8,17,no,no,yes,100,3,2915
1999,33,120,8,14,no,no,no,100,3,1999
2720,33,250,8,15,yes,no,yes,100,3,2720
1999,33,170,4,14,no,no,yes,100,3,1999
2195,33,170,8,15,no,no,yes,100,3,2195
2195,25,245,8,14,no,no,yes,100,3,2195
2295,66,130,4,14,no,no,yes,100,3,2295
1595,25,170,4,15,no,no,yes,100,3,1595
1695,33,170,4,14,no,no,yes,100,3,1695
1495,25,170,4,14,no,no,yes,100,3,1495
3795,66,500,8,14,no,no,yes,100,3,3795
1699,33,120,4,14,no,no,yes,100,3,1699
1895,25,130,4,14,no,no,yes,100,3,1895
2335,50,250,8,14,no,no,yes,100,3,2335
2495,50,245,8,14,no,no,yes,100,3,2495
2575,66,250,8,14,no,no,yes,100,3,2575
2495,33,250,8,15,no,no,yes,100,3,2495
3299,66,245,16,15,no,no,yes,100,3,3299
2699,66,213,8,14,no,no,yes,100,3,2699
1695,50,85,2,14,no,no,yes,100,3,1695
2999,66,170,4,14,no,no,yes,100,3,2999
2399,66,213,8,14,no,no,yes,100,3,2399
1499,25,170,4,14,no,no,yes,100,3,1499
2395,33,170,8,14,no,no,yes,100,3,2395
1720,25,170,4,14,yes,no,yes,100,3,1720
1495,33,85,2,14,no,no,yes,100,3,1495
2399,66,120,4,14,no,no,yes,100,3,2399
3035,50,250,8,17,no,no,yes,100,3,3035
2449,33,230,4,14,no,no,yes,100,3,2449
1775,33,170,4,14,no,no,yes,100,3,1775
2599,33,245,16,15,no,no,yes,100,3,2599
2995,66,340,8,15,no,no,yes,100,3,2995
2345,33,250,8,15,no,no,yes,100,3,2345
2535,33,170,8,15,no,no,yes,100,3,2535
2345,50,250,8,14,no,no,yes,100,3,2345
1899,50,120,4,14,no,no,yes,100,3,1899
2195,50,130,4,14,no,no,yes,100,3,2195
2645,50,170,8,14,no,no,yes,100,3,2645
2785,50,170,8,15,no,no,yes,100,3,2785
2799,50,245,16,15,no,no,yes,100,3,2799
2999,66,340,4,15,no,no,yes,100,3,2999
