Attune Foods' Uncle Sam Toasted Whole-Wheat Flakes & Flaxseed (Original),5
Barbara's Bakery Peanut Butter Puffins,7
Barbara's Bakery Shredded Oats,4
Barbara's Bakery Shredded Wheat,9
Cascadian Farm Ancient Grains Granola,5
Cascadian Farm Fruit & Nut Granola,5
General Mills Apple Cinnamon Cheerios,8
General Mills Basic 4,4
General Mills Cinnamon Toast Crunch,9
General Mills Cookie Crisp,3
General Mills - Hershey's Cookies 'n' Creme,5
General Mills Cocoa Puffs,9
General Mills Cocoa Puffs Brownie Crunch,7
General Mills Frosted Mini Chex,7
General Mills Frosted Toast Crunch,8
General Mills Fruity Yummy Mummy (Retro),8
General Mills Frute Brute (Retro),8
General Mills Golden Grahams,2
General Mill's Honey Nut Chex,0
General Mills Honey Nut Clusters,7
General Mills Ice Cream Cones,9
General Mills Kix,5
"General Mills Lucky Charms - ""Limited Edition"" with Green Clovers",10
General Mills Millenios,6
General Mills Multi Grain Cheerios - Dark Chocolate Crunch,8
General Mill's Multi-Grain Chex,9
General Mills Neopets Islandberry Crunch,7
General Mills NesQuik,7
General Mills Peanut Butter Toast Crunch,4
General Mills Peanut Butter Toast Crunch,7
General Mills Reese's Puffs,7.5
General Mills Team Cheerios,9
General Mills The Return of Frute Brute,5
General Mills The Return of Fruity Yummy Mummy,6
General Mills Total,7
General Mills Total Honey Clusters,2
General Mills Total with Strawberries,5
General Mills Trix Swirls,10
General Mills Uh-Gi-Oh! Cereal,5.5
General Mills Wheaties Energy Crunch,8
General Mills Wheaties Fuel,7
Ralston (General Mills) Corn Chex,4
Ralston (General Mills) Rice Chex,4
Ralston (General Mills) Wheat Chex,7
Kashi Autumn Wheat,8
Kashi Berry Blossoms,5
Kashi Cinnamon Harvest,7
Kashi Golden Goodness,7
Kashi GOLEAN Crunch,0
Kashi Indigo Mornings,5
Kashi Strawberry Fields,6
Kellogg's Apple Jacks - Apple Clones,8
Kellogg's Barbie Fairytopia Cereal,5
Kellogg's Bite-Sized Mini Wheats,8
Kellogg's Cars 2,4
Kellogg's Cinnabon Crunchy Cinnamon Multi-Grain Cereal,7
Kellogg's Cinnamon Jacks,6
Kellogg's Cocoa Krispies Choconilla,6
Kellogg's Corn Flakes,6
Kellogg's Corn Flakes - Touch of Honey,5
Kellogg's Crispix,7
Kellogg's Crunchy Nut Roasted Nut & Honey Corn & Oat O's,6.5
Kellogg's Crunchy Nut Golden Honey Nut (Corn Flakes),7
Kellogg's Dr. Seuss' THE CAT IN THE HAT,5
Kellogg's Dreamworks Shrek,2
Kellogg's Eggo Cereal,5
Kellogg's Frosted Flakes Chocolate - Choco Zucaritas,8
Kellogg's Frosted Flakes Gold,6
Kellogg's Frosted Mini-Wheats Little Bites - Chocolate,5
Kellogg's Frosted Mini-Wheats Little Bites - Honey Nut,7
Kellogg's Frosted Mini Wheats CRUNCH - Brown Sugar,8
Kellogg's Frosted Mini-Wheats - Strawberry Delight,3
Kellogg's Frosted Mini Wheats - Touch of Fruit in the Middle - Raspberry,1
Kellogg's Frosted Mini Wheats - Vanilla Creme,0
Kellogg's Fruit Harvest Apple Cinnamon Cereal,8
Kellogg's Fruit Harvest Banana Berry Cereal,8
Kellogg's Fruit Harvest Peach Strawberry Cereal,9
Kellogg's Fruit Harvest Strawberry Blueberry Cereal,4
Kellogg's Hot Wheels Cereal,1
Kellogg's Indiana Jones,6
Kellogg's Jif Peanut Butter Cereal,7
Kellogg's Jumbo Multi-Grain Krispies,0
Kellogg's Keebler Cookie Crunch,5
Kellogg's Krave (Chocolate),6.5
Kellogg's Mini Swirlz Cinnamon Bun,6
Kellogg's Mini Swirlz Peanut Butter Blast,7
Kellogg's Organic Bite Size Frosted Mini-Wheats,6
Kellogg's Pirates of the Caribbean - Dead Man's Chest,7
Kellogg's Pops - Chocolate Peanut Butter,8.5
Kellogg's Product 19,6
Kellogg's Raisin Bran Extra!,6
Kellogg's Rice Krispies,6
Kellogg's Rocky Mountain Chocolate Cereal,6
Kellogg's Scooby-Doo!,2
