Cereal,Calories,Protein,Total fat,Carbs,Fiber,Sugars,Calcium Ca,Iron Fe,Magnesium Mg,Phosphorus P,Potassium K,Sodium Na,Zinc Zn,Vitamin C total ascorbic acid,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate DFE,Vitamin B-12,Vitamin A RAE,Vitamin A IU,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Vitamin D,Vitamin K (phylloquinone),Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Caffeine,Trans Fat,Rating
Attune Foods' Uncle Sam Toasted Whole-Wheat Flakes & Flaxseed (Original),190,8.79,6.38,36.18,11.2,0.86,52,2.22,113,206,245,113,2.13,1.3,0.373,0.070,2.642,0.526,29,0.00,0,0,0.49,0.0,0,1.0,0.520,0.780,3.293,0,0,5.0
Barbara's Bakery Peanut Butter Puffins,90,2.00,1.00,22.68,5.0,5.00,19,0.36,29,34,85,190,0.35,15.0,0.030,0.018,0.513,0.066,5,0.00,0,0,0.24,0.0,0,0.2,0.000,0.604,0.288,0,0.000,7.0
General Mills Apple Cinnamon Cheerios,116,2.49,1.83,23.97,2.2,10.26,100,4.50,24,80,74,117,3.75,6.0,0.387,0.417,5.010,0.498,336,1.50,149,500,0.20,1.0,40,0.9,0.330,0.837,0.567,0,0.000,8.0
General Mills Basic 4,197,3.68,2.20,43.50,5.0,12.38,250,4.50,32,100,175,278,3.74,0.2,0.379,0.440,5.005,0.495,163,1.49,146,500,0.91,1.0,40,0.9,0.710,0.660,0.605,0,0.000,4.0
General Mills Cinnamon Toast Crunch,127,1.69,3.18,24.18,2.1,9.39,138,6.35,17,62,62,176,5.62,6.0,0.765,0.641,7.605,0.837,190,2.06,285,950,0.66,1.6,65,2.9,0.302,1.525,0.654,0,0.005,9.0
General Mills Cookie Crisp,99,1.35,1.14,21.97,1.3,9.05,100,4.50,8,40,60,119,3.74,6.0,0.364,0.416,4.992,0.500,167,1.51,142,500,0.15,1.0,40,0.4,0.208,0.364,0.442,1,0.000,3.0
General Mills Cocoa Puffs,103,1.51,1.40,22.60,1.5,10.04,100,4.51,16,60,73,152,3.75,6.0,0.378,0.432,4.995,0.500,166,1.51,142,500,0.19,1.0,40,0.6,0.270,0.459,0.567,2,0.000,9.0
General Mills Frosted Toast Crunch,123,1.56,3.03,23.58,1.5,8.76,100,4.50,8,40,51,170,3.75,6.0,0.387,0.417,5.010,0.498,0,1.50,0,500,0,1.0,40,0,0.300,2.007,0.660,0,0.060,8.0
General Mills Golden Grahams,116,1.64,0.99,26.38,1.7,10.85,100,4.50,8,40,64,239,3.75,6.0,0.372,0.434,4.991,0.500,166,1.49,146,500,0.20,1.0,40,0.6,0.124,0.496,0.310,0,0.000,2.0
General Mill's Honey Nut Chex,120,2.02,0.64,27.73,1.2,8.99,100,4.51,8,20,70,192,3.74,6.0,0.384,0.413,4.992,0.499,166,1.50,138,500,0.07,1.0,40,0.0,0.160,0.160,0.320,0,0.000,0.0
General Mills Honey Nut Clusters,213,4.39,1.14,48.56,3.6,14.14,19,4.50,24,80,105,294,3.76,6.0,0.399,0.399,5.016,0.500,162,1.48,0,0,0.22,0.0,0,0.6,0.285,0.114,0.228,0,0.000,7.0
General Mills Kix,107,2.31,1.04,24.85,2.6,2.93,171,9.60,15,57,67,179,5.23,7.6,0.587,0.600,7.275,0.690,397,1.71,264,923,0.09,1.0,40,0.1,0.173,0.297,0.383,0,0.007,5.0
"General Mills Lucky Charms - ""Limited Edition"" with Green Clovers",103,2.07,1.36,21.84,1.4,9.76,117,6.01,20,78,60,175,5.03,7.2,0.469,0.465,6.831,0.813,336,1.84,229,762,0.12,1.1,42,0.4,0.239,0.428,0.416,0,0.004,10.0
General Mills Peanut Butter Toast Crunch,127,2.54,3.04,23.62,1.7,8.40,100,4.50,16,60,82,140,4.50,6.0,0.372,0.431,4.991,0.499,0,1.49,0,500,0,1.0,40,0,0.555,1.550,0.803,0,0.031,5.5
General Mills Reese's Puffs,120,1.97,3.22,21.92,1.4,10.24,100,4.50,16,60,71,161,3.74,6.0,0.377,0.435,4.988,0.500,166,1.51,144,500,6.86,1.0,40,0.5,0.609,1.363,1.073,1,0.029,7.5
Ralston (General Mills) Corn Chex,115,1.98,0.74,26.35,1.5,3.44,100,8.09,8,40,61,223,3.75,6.0,0.372,0.431,4.991,0.499,336,1.49,136,500,0.08,1.0,40,0.0,0.124,0.186,0.400,0,0.000,4.0
