Name,Rating,Water,Energy,Protein,Total lipid (fat),Carbohydrate by difference,Fiber total dietary,Sugars total,Calcium Ca,Iron Fe,Magnesium Mg,Phosphorus P,Potassium K,Sodium Na,Zinc Zn,Vitamin C total ascorbic acid,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate DFE,Vitamin B-12,Vitamin A RAE,Vitamin A IU,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Vitamin D,Vitamin K (phylloquinone),Fatty acids total saturated,Fatty acids total monounsaturated,Fatty acids total polyunsaturated,Fatty acids total trans,Other,Cholesterol,Caffeine,
Attune Foods' Uncle Sam Toasted Whole-Wheat Flakes & Flaxseed (Original),5,4.43,346,15.98,11.6,65.78,20.3,1.56,95,4.03,206,374,446,206,3.87,2.4,0.679,0.127,4.803,0.956,53,0,0,0,0.9,0,0,1.8,0.946,1.419,5.987,n/a,n/a,0,0,"
"
Barbara's Bakery Peanut Butter Puffins,7,3.59,333,7.41,3.7,84,18.5,18.52,70,1.33,107,126,315,704,1.28,55.6,0.111,0.068,1.9,0.243,19,0,0,0,0.89,0,0,0.7,0,2.237,1.066,0,n/a,0,0,"
"
General Mills Apple Cinnamon Cheerios,8,2.29,386,8.3,6.09,79.9,7.3,34.2,333,15,80,267,248,390,12.5,20,1.29,1.39,16.7,1.66,1120,5,498,1667,0.68,3.3,133,3.1,1.1,2.79,1.89,0,n/a,0,0,"
"
General Mills Basic 4,4,6.25,358,6.69,4,79.09,9.1,22.5,455,8.19,58,182,318,506,6.8,0.3,0.69,0.8,9.1,0.9,296,2.7,265,909,1.66,1.8,73,1.7,1.29,1.2,1.1,0,n/a,0,0,"
"
General Mills Cinnamon Toast Crunch,9,3.24,410,5.45,10.25,77.99,6.8,30.3,444,20.48,54,199,201,567,18.12,19.4,2.467,2.067,24.533,2.7,613,6.65,918,3066,2.14,5.3,210,9.4,0.975,4.92,2.11,0.017,n/a,0,0,"
"
General Mills Cookie Crisp,3,2.3,380,5.2,4.4,84.5,5.1,34.8,385,17.3,31,154,231,457,14.4,23.1,1.4,1.6,19.2,1.923,641,5.8,546,1923,0.57,3.8,154,1.5,0.8,1.4,1.7,0,n/a,0,4,"
"
General Mills Cocoa Puffs,9,1.8,383,5.6,5.2,83.7,5.7,37.2,370,16.7,59,222,272,564,13.9,22.2,1.4,1.6,18.5,1.852,616,5.6,527,1852,0.7,3.7,148,2.1,1,1.7,2.1,0,n/a,0,6,"
"
General Mills Frosted Toast Crunch,8,2.29,410,5.19,10.1,78.59,4.9,29.2,333,15,27,133,169,565,12.5,20,1.29,1.39,16.7,1.66,n/a,5,n/a,1667,n/a,3.3,133,n/a,1,6.69,2.2,0.2,n/a,0,n/a,"
"
General Mills Golden Grahams,2,2.2,374,5.3,3.2,85.1,5.6,35,323,14.5,26,129,206,772,12.1,19.4,1.2,1.4,16.1,1.613,535,4.8,472,1613,0.64,3.2,129,2,0.4,1.6,1,0,n/a,0,0,"
"
General Mill's Honey Nut Chex,0,2.2,375,6.3,2,86.67,3.9,28.1,313,14.1,25,63,219,600,11.69,18.8,1.2,1.29,15.6,1.56,518,4.69,432,1563,0.21,3.1,125,0.1,0.5,0.5,1,0,n/a,0,0,"
"
General Mills Honey Nut Clusters,7,2.35,374,7.7,2,85.2,6.3,24.8,34,7.9,42,140,184,515,6.6,10.5,0.7,0.7,8.8,0.877,285,2.6,0,0,0.39,0,0,1.1,0.5,0.2,0.4,0,n/a,0,0,"
"
General Mills Kix,5,2.79,357,7.69,3.46,82.82,8.8,9.76,570,32,51,189,223,596,17.42,25.4,1.955,2,24.25,2.3,1324,5.7,879,3078,0.3,3.3,133,0.2,0.576,0.99,1.277,0.025,n/a,0,0,"
"
"General Mills Lucky Charms - ""Limited Edition"" with Green Clovers",10,4.15,380,7.67,5.02,80.89,5,36.13,434,22.27,74,289,222,648,18.62,26.6,1.737,1.723,25.3,3.01,1246,6.8,847,2823,0.45,3.9,156,1.4,0.885,1.586,1.542,0.013,n/a,0,0,"
"
General Mills Peanut Butter Toast Crunch,5.5,2.59,410,8.19,9.8,76.19,5.5,27.1,323,14.5,52,194,264,452,14.5,19.4,1.2,1.39,16.1,1.61,n/a,4.8,n/a,1613,n/a,3.2,129,n/a,1.79,5,2.59,0.1,n/a,0,n/a,"
"
General Mills Reese's Puffs,7.5,2.6,413,6.8,11.1,75.6,4.7,35.3,345,15.5,55,207,244,555,12.9,20.7,1.3,1.5,17.2,1.724,573,5.2,495,1724,23.64,3.4,138,1.8,2.1,4.7,3.7,0.1,n/a,0,3,"
"
Ralston (General Mills) Corn Chex,4,2.5,370,6.4,2.4,85,4.7,11.1,323,26.1,26,129,197,719,12.1,19.4,1.2,1.39,16.1,1.61,1083,4.8,440,1613,0.25,3.2,129,0.1,0.4,0.6,1.29,0,n/a,0,0,"
"
Ralston (General Mills) Rice Chex,4,2.59,375,6.4,1.89,85.09,2,8,370,33.29,30,148,188,809,13.89,22.2,1.39,1.6,18.5,1.85,1256,5.59,556,1852,0.35,3.7,148,1,0.5,0.6,0.69,0,n/a,0,0,"
"
Ralston (General Mills) Wheat Chex,7,2.5,345,9.8,1.8,82.2,12.2,10.3,213,30.6,85,319,369,570,11.2,12.8,0.8,0.9,10.6,1.064,1433,3.2,317,1064,0.68,2.1,85,1.8,0.4,0.3,1,0,n/a,0,0,"
"
Kashi Autumn Wheat,8,5,338,12,1.4,79,11.2,12.4,29,3.1,81,225,342,4,1.5,0,0.364,0.109,5.2,0.285,36,0,0,0,0.96,0,0,1.8,0.3,0.2,0.9,0,n/a,0,0,"
"
Kashi Berry Blossoms,5,2.5,322,7.5,3,83.09,18.9,23.39,35,3.2,87,188,250,419,1.6,6,0.28,0.15,3.2,0.07,11,n/a,n/a,85,n/a,n/a,n/a,n/a,0.4,0.89,1.39,0,n/a,0,n/a,"
"
Kashi Cinnamon Harvest,7,5,336,11,1.4,79,10.7,16.5,25,2.8,n/a,n/a,316,4,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0.2,0.2,1,0,n/a,0,n/a,"
"
Kashi GOLEAN Crunch,0,3.5,367,16.7,5.9,71.4,14.5,24,59,2.79,82,251,613,186,0.4,1,0.07,0.02,0.5,0.02,57,0,1,15,1.33,0,0,3.7,0.8,2.4,2.09,0,n/a,0,0,"
"
Kashi Indigo Mornings,5,3,364,7.7,3.4,82.8,7.1,22.2,n/a,2.6,106,256,289,472,1.8,4,0.32,0.17,3,0.52,23,n/a,n/a,209,0.67,n/a,n/a,n/a,0.6,1,1.8,0,n/a,0,n/a,"
"
Kashi Strawberry Fields,6,3.1,358,9.4,0.7,83.5,5,20.5,14,1.8,43,98,123,337,0.9,19,0.23,0.04,3.4,0.1,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,0.1,0.1,0.2,0,n/a,0,n/a,"
"
Kellogg's Cinnamon Jacks,6,2.29,397,5.9,7.8,83,9,33.9,20,16.1,43,96,155,451,5.4,54,1.34,1.51,17.89,1.78,594,5,n/a,1786,n/a,3.6,143,n/a,1.29,3.29,2.7,0.1,n/a,0,n/a,"
"
Kellogg's Corn Flakes,6,3.76,357,7.5,0.4,84.1,3.3,9.5,5,28.9,39,102,168,729,1,21,1.34,1.52,17.9,1.79,583,5,490,1786,0.12,3.6,143,0,0.116,0.067,0.196,0,n/a,0,0,"
"
Kellogg's Crispix,7,3,378,6.59,0.8,87.19,1,12.8,9,28,13,45,71,660,5.19,21,1.8,2.04,24.1,2.41,1629,6.19,494,1724,0.1,3.5,138,0.1,0.2,0.2,0.3,0,n/a,0,0,"
"
Kellogg's Crunchy Nut Golden Honey Nut (Corn Flakes),7,2.5,385,6.7,3.9,83.3,2.4,33.5,20,14.5,24,62,137,442,0.6,20,1.21,1.37,16.1,1.61,530,4.8,n/a,1667,n/a,3.3,133,n/a,0.6,2.8,0.4,0,n/a,0,n/a,"
"
Kellogg's Frosted Flakes Chocolate - Choco Zucaritas,8,2.65,387,5.1,3.5,85.1,1.4,38.1,7,15,36,77,179,515,0.8,20,1.25,1.42,16.7,1.67,553,5,n/a,1667,n/a,3.3,133,n/a,2.6,0.6,0.2,0,n/a,0,n/a,"
"
Kellogg's Frosted Mini-Wheats Little Bites - Chocolate,5,5.3,354,8.5,3.4,81.4,10.9,22.29,33,28.89,90,335,481,371,2.7,0,0.67,0.75,8.89,0.88,594,3,n/a,0,n/a,n/a,n/a,n/a,1.5,0.8,1.1,0,n/a,0,n/a,"
"
Kellogg's Frosted Mini-Wheats - Strawberry Delight,3,5.1,352,8.7,1.6,84.6,10.2,22.7,26,29.5,81,346,342,3,2.7,0,0.68,0.77,9.1,0.91,606,2.7,n/a,6,0.67,0,0,n/a,0.4,0.2,0.8,0,n/a,0,n/a,"
"
Kellogg's Frosted Mini Wheats - Touch of Fruit in the Middle - Raspberry,1,6.3,342,8.8,1.8,82.1,10.6,17.8,33,29.5,83,359,352,17,2.7,0,0.68,0.77,9.1,0.91,n/a,2.7,n/a,6,0.67,n/a,n/a,n/a,0.5,0.3,0.9,0,n/a,0,n/a,"
"
Kellogg's Krave (Chocolate),6.5,3.5,397,7,11.1,76.1,9.9,35.7,61,14.5,40,102,222,320,5,48,1.21,1.13,16.1,1.61,441,4.8,n/a,6452,n/a,3.3,133,n/a,2.5,2.8,5.2,0.1,n/a,1,n/a,"
"
Kellogg's Product 19,6,3.5,374,8.5,1.3,84.3,2.8,12.5,16,60,38,87,179,727,50,200,5,5.67,66.7,6.67,2253,20,748,2500,45,3.3,133,0.3,0.2,0.4,0.6,0,n/a,0,0,"
"
Kellogg's Rice Krispies,6,5.06,381,6.75,2.05,85.05,0.4,9.87,5,30.42,27,125,125,527,1.39,63.3,1.77,1.29,17.967,2.35,1034,7.23,1136,3788,26.64,6.2,247,0,0.458,0.593,0.626,0.003,n/a,0,0,"
"
Kellogg's Scooby-Doo!,2,2.29,376,8.6,4.09,84,9.8,18.5,22,28.1,84,193,289,344,5,47,1.16,1.33,15.6,1.55,n/a,5,n/a,1667,n/a,3.3,133,n/a,0.6,1.6,1.7,0,n/a,0,n/a,"
"
Kellogg's Special K - Chocolatey Strawberry,6,3,368,6.9,3.9,83.3,9.5,28.6,25,27.89,59,180,280,631,1.5,72,1.8,2.04,24.1,2.41,n/a,7,n/a,2586,n/a,3.5,138,n/a,3,0.2,0.6,0,n/a,0,n/a,"
"
Kellogg's Special K - Cinnamon Pecan,5.5,3,375,7.5,6,81.2,10.3,24,30,27,67,191,267,650,1.5,70,1.75,1.98,23.3,2.33,781,7,750,2500,0.44,3.3,133,0.9,0.7,2.8,2.1,0,n/a,0,0,"
"
Kellogg's Special K - Low Fat Granola,3,3.5,375,13.1,5.4,74.8,11.3,18,40,n/a,75,237,225,219,1.6,1,1,1.13,13.5,1.35,444,4,n/a,962,n/a,1.9,77,n/a,1.1,1.6,1.79,0,n/a,0,n/a,"
"
Kellogg's Special K - Red Berries,7,3,358,6.3,1.29,87.09,8.5,29.7,24,26.1,59,166,229,619,1.29,68,1.69,1.91,22.6,2.25,755,6.8,499,1667,15.3,3.3,134,1.2,0.3,0.3,0.5,0,n/a,0,0,"
"
Kellogg's Special K - Blueberry,3.5,3.5,363,6.9,1.5,86.3,8.6,26.7,18,27,55,164,204,481,1.3,70,1.75,1.98,23.3,2.33,781,7,745,2500,0,3.3,133,5.3,0.4,0.1,0.5,0,n/a,0,0,"
"
Post Cocoa Pebbles,8,2.5,397,4.8,4.1,85.7,1.6,35.8,22,6.2,31,95,193,594,5.2,0,1.3,1.5,17.2,1.7,583,5.2,776,2586,0.13,6.9,276,1.3,3.6,0.2,0.1,0.1,n/a,0,2,"
"
Post Grape Nuts,8,3.5,361,11.22,1.81,80.49,13,8.86,32,28,124,467,400,465,2.07,0.1,0.65,0.12,8.62,0.86,573,0,0,4,0.62,0,0,2,0.34,0.21,0.78,0,n/a,0,0,"
"
Post Great Grains,4,5.2,403,9,10.5,73,9.7,15.4,39,17.3,98,296,337,287,2.3,0.2,0.7,0.8,9.6,1,314,2.9,430,1442,0.74,1.9,77,2.2,1,5.8,3.1,0.1,n/a,0,0,"
"
Post Fruity Pebbles,8,3,402,4.62,4.02,86.1,0.8,34.28,19,6.67,16,71,72,531,5.56,22.2,1.39,1.57,18.52,1.85,627,5.56,833,2778,0.13,7.4,296,1.3,3.6,0.16,0.12,0.09,n/a,0,0,"
"
Post Honey Nut Shredded Wheat Spoonsize,6,3,373,8.5,2.9,83.6,10.7,20.7,38,28,93,274,348,102,2.5,0,0.6,0.7,8.5,0.8,259,2.5,0,7,1.2,0,0,1.5,0.4,1.2,1.2,0,n/a,0,0,"
"
Quaker Oats - Cap'n Crunch's Halloween Crunch (2013),8,2.48,402,4.41,5.66,85.14,2.5,43.82,11,19.6,54,167,185,719,15.42,0.1,1.6,1.8,20.56,2.12,n/a,0,n/a,147,0.42,n/a,n/a,n/a,3.115,1.359,0.805,0.018,n/a,0,n/a,"
"
